update,step,reward,batch_mean_reward,loss,mean_q,mean_target_q,avg_leakage_rate,lambda_penalty,replay_size,avg_inspection_rate,avg_target_sampling_rate,avg_attack_intensity,avg_fpr,avg_fnr,tp,tn,fp,fn
12,384,-1.176666021347046,-1.5721454061567783,17.231990814208984,-5.808263301849365,-1.703709602355957,0.0,9.994390624999994,384.0,0.79115625,0.7860727030783892,0.003125,0.0,0.0,100,31900,0,0
13,416,-2.0,-1.9088540598750114,16.48342514038086,-5.6665802001953125,-1.6608974933624268,0.0,9.993890624999993,416.0,0.95246875,0.9544270299375057,0.0561875,0.0,0.0,1798,30202,0,0
14,448,-2.0,-2.0,17.619579315185547,-5.832472801208496,-1.6776542663574219,0.0,9.993390624999993,448.0,1.0,1.0,0.099375,0.0,0.0,3180,28820,0,0
15,480,-2.0,-2.0,17.273786544799805,-5.947634696960449,-1.8308926820755005,0.0,9.992890624999992,480.0,1.0,1.0,0.10296875,0.0,0.0,3295,28705,0,0
16,512,-2.0,-1.9156247712671757,15.854470252990723,-5.63535737991333,-1.7106605768203735,0.0,9.992390624999992,512.0,0.9605625,0.9578123856335878,0.05971875,0.0,0.0,1911,30089,0,0
17,544,-2.0,-1.9937499985098839,14.509256362915039,-5.398602485656738,-1.6528607606887817,0.0,9.991890624999991,544.0,0.99678125,0.9968749992549419,0.0465625,0.0,0.0,1490,30510,0,0
18,576,-2.0,-1.866874948143959,15.866218566894531,-5.645007610321045,-1.7041172981262207,0.0,9.99139062499999,576.0,0.93734375,0.9334374740719795,0.01471875,0.0,0.0,471,31529,0,0
19,608,-1.7999999523162842,-1.4979165755212307,15.248544692993164,-5.626648902893066,-1.7576313018798828,0.0,9.99089062499999,608.0,0.7513125,0.7489582877606153,0.0,0.0,0.0,0,32000,0,0
20,640,-1.5466666221618652,-1.8880206644535065,15.855591773986816,-5.754478931427002,-1.7943062782287598,0.0,9.99039062499999,640.0,0.95434375,0.9440103322267532,0.06153125,0.0,0.0,1969,30031,0,0
21,672,-2.0,-1.7048517763614655,14.830513000488281,-5.512970924377441,-1.7031950950622559,0.0010901162790697674,9.989945130813943,672.0,0.852125,0.8485415428876877,0.04275,0.0,0.0010901162790697674,1365,30632,0,3
22,704,-1.9666659832000732,-1.9191665351390839,14.489870071411133,-5.521553039550781,-1.753450632095337,0.0,9.989445130813943,704.0,0.966375,0.9595832675695419,0.0543125,0.0,0.0,1738,30262,0,0
23,736,-2.0,-1.887499999254942,13.534324645996094,-5.3421630859375,-1.7057974338531494,0.0,9.988945130813942,736.0,0.94565625,0.943749999627471,0.05265625,0.0,0.0,1685,30315,0,0
24,768,-1.6466660499572754,-1.7714579552412033,13.679652214050293,-5.43850040435791,-1.7734309434890747,0.0,9.988445130813941,768.0,0.8894375,0.8857289776206017,0.040125,0.0,0.0,1284,30716,0,0
25,800,-2.0,-1.8441664576530457,12.679611206054688,-5.204404830932617,-1.7371755838394165,0.0,9.98794513081394,800.0,0.92525,0.9220832288265228,0.063875,0.0,0.0,2044,29956,0,0
26,832,-2.0,-2.0,12.397180557250977,-5.227736473083496,-1.7351250648498535,0.0,9.98744513081394,832.0,0.99825,1.0,0.00503125,0.0,0.0,161,31839,0,0
27,864,-2.0,-2.152932748198509,12.984566688537598,-5.318406105041504,-1.7519023418426514,0.015625,9.98772638081394,864.0,0.997625,1.0,0.00528125,0.0,0.015625,168,31831,0,1
