step,reward,actual_inspection_rate,target_sampling_rate,attack_intensity,fpr,fnr,avg_sq,tp,tn,fp,fn
133,-2.0,1.0,1.0,0.013,0.0,0.0,118.073,13,987,0,0
134,-2.0,1.0,1.0,0.016,0.0,0.0,125.936,16,984,0,0
135,-2.0,1.0,1.0,0.011,0.0,0.0,112.831,11,989,0,0
136,-2.0,1.0,1.0,0.007,0.0,0.0,102.347,7,993,0,0
137,-2.0,1.0,1.0,0.006,0.0,0.0,99.726,6,994,0,0
138,-2.0,1.0,1.0,0.009,0.0,0.0,107.589,9,991,0,0
139,-2.0,1.0,1.0,0.012,0.0,0.0,115.452,12,988,0,0
140,-2.0,1.0,1.0,0.005,0.0,0.0,97.105,5,995,0,0
141,-2.0,1.0,1.0,0.008,0.0,0.0,104.968,8,992,0,0
142,-2.0,1.0,1.0,0.011,0.0,0.0,112.831,11,989,0,0
143,-2.0,1.0,1.0,0.003,0.0,0.0,91.863,3,997,0,0
144,-2.0,1.0,1.0,0.011,0.0,0.0,112.831,11,989,0,0
145,-2.0,1.0,1.0,0.007,0.0,0.0,102.347,7,993,0,0
146,-2.0,1.0,1.0,0.011,0.0,0.0,112.831,11,989,0,0
147,-2.0,1.0,1.0,0.01,0.0,0.0,110.21,10,990,0,0
148,-2.0,1.0,1.0,0.012,0.0,0.0,115.452,12,988,0,0
149,-2.0,1.0,1.0,0.008,0.0,0.0,104.968,8,992,0,0
150,-2.0,1.0,1.0,0.013,0.0,0.0,118.073,13,987,0,0
151,-2.0,1.0,1.0,0.009,0.0,0.0,107.589,9,991,0,0
152,-2.0,1.0,1.0,0.008,0.0,0.0,104.968,8,992,0,0
153,-2.0,1.0,1.0,0.009,0.0,0.0,107.589,9,991,0,0
154,-2.0,1.0,1.0,0.014,0.0,0.0,120.694,14,986,0,0
155,-2.0,1.0,1.0,0.011,0.0,0.0,112.831,11,989,0,0
156,-2.0,1.0,1.0,0.012,0.0,0.0,115.452,12,988,0,0
157,-2.0,1.0,1.0,0.007,0.0,0.0,102.347,7,993,0,0
158,-2.0,1.0,1.0,0.017,0.0,0.0,128.557,17,983,0,0
159,-2.0,1.0,1.0,0.012,0.0,0.0,115.452,12,988,0,0
160,-2.0,1.0,1.0,0.008,0.0,0.0,104.968,8,992,0,0
161,-2.0,1.0,1.0,0.012,0.0,0.0,115.452,12,988,0,0
162,-2.0,1.0,1.0,0.013,0.0,0.0,118.073,13,987,0,0
163,-2.0,1.0,1.0,0.009,0.0,0.0,107.589,9,991,0,0
164,-2.0,1.0,1.0,0.012,0.0,0.0,115.452,12,988,0,0
165,-2.0,1.0,1.0,0.011,0.0,0.0,112.831,11,989,0,0
166,-2.0,1.0,1.0,0.01,0.0,0.0,110.21,10,990,0,0
167,-2.0,1.0,1.0,0.014,0.0,0.0,120.694,14,986,0,0
168,-2.0,1.0,1.0,0.014,0.0,0.0,120.694,14,986,0,0
169,-2.0,1.0,1.0,0.012,0.0,0.0,115.452,12,988,0,0
170,-2.0,1.0,1.0,0.01,0.0,0.0,110.21,10,990,0,0
171,-2.0,1.0,1.0,0.011,0.0,0.0,112.831,11,989,0,0
172,-2.0,1.0,1.0,0.008,0.0,0.0,104.968,8,992,0,0
173,-2.0,1.0,1.0,0.009,0.0,0.0,107.589,9,991,0,0
174,-2.0,1.0,1.0,0.009,0.0,0.0,107.589,9,991,0,0
175,-2.0,1.0,1.0,0.008,0.0,0.0,104.968,8,992,0,0
176,-2.0,1.0,1.0,0.007,0.0,0.0,102.347,7,993,0,0
177,-2.0,1.0,1.0,0.006,0.0,0.0,99.726,6,994,0,0
178,-2.0,1.0,1.0,0.006,0.0,0.0,99.726,6,994,0,0
179,-2.0,1.0,1.0,0.012,0.0,0.0,115.452,12,988,0,0
180,-2.0,1.0,1.0,0.012,0.0,0.0,115.452,12,988,0,0
181,-2.0,1.0,1.0,0.011,0.0,0.0,112.831,11,989,0,0
182,-2.0,1.0,1.0,0.009,0.0,0.0,107.589,9,991,0,0
183,-2.0,1.0,1.0,0.013,0.0,0.0,118.073,13,987,0,0
184,-2.0,1.0,1.0,0.009,0.0,0.0,107.589,9,991,0,0
185,-2.0,1.0,1.0,0.012,0.0,0.0,115.452,12,988,0,0
186,-2.0,1.0,1.0,0.012,0.0,0.0,115.452,12,988,0,0
187,-2.0,1.0,1.0,0.01,0.0,0.0,110.21,10,990,0,0
188,-2.0,1.0,1.0,0.01,0.0,0.0,110.21,10,990,0,0
189,-2.0,1.0,1.0,0.012,0.0,0.0,115.452,12,988,0,0
190,-2.0,1.0,1.0,0.01,0.0,0.0,110.21,10,990,0,0
191,-2.0,1.0,1.0,0.012,0.0,0.0,115.452,12,988,0,0
192,-2.0,1.0,1.0,0.012,0.0,0.0,115.452,12,988,0,0
193,-2.0,1.0,1.0,0.005,0.0,0.0,97.105,5,995,0,0
194,-2.0,1.0,1.0,0.006,0.0,0.0,99.726,6,994,0,0
195,-2.0,1.0,1.0,0.015,0.0,0.0,123.315,15,985,0,0
196,-2.0,1.0,1.0,0.009,0.0,0.0,107.589,9,991,0,0
197,-2.0,1.0,1.0,0.011,0.0,0.0,112.831,11,989,0,0
198,-2.0,1.0,1.0,0.006,0.0,0.0,99.726,6,994,0,0
199,-2.0,1.0,1.0,0.009,0.0,0.0,107.589,9,991,0,0
200,-2.0,1.0,1.0,0.01,0.0,0.0,110.21,10,990,0,0
201,-2.0,1.0,1.0,0.012,0.0,0.0,115.452,12,988,0,0
202,-2.0,1.0,1.0,0.01,0.0,0.0,110.21,10,990,0,0
203,-2.0,1.0,1.0,0.009,0.0,0.0,107.589,9,991,0,0
204,-2.0,1.0,1.0,0.013,0.0,0.0,118.073,13,987,0,0
205,-2.0,1.0,1.0,0.009,0.0,0.0,107.589,9,991,0,0
206,-2.0,1.0,1.0,0.008,0.0,0.0,104.968,8,992,0,0
207,-2.0,1.0,1.0,0.011,0.0,0.0,112.831,11,989,0,0
208,-2.0,1.0,1.0,0.009,0.0,0.0,107.589,9,991,0,0
209,-2.0,1.0,1.0,0.011,0.0,0.0,112.831,11,989,0,0
210,-2.0,1.0,1.0,0.009,0.0,0.0,107.589,9,991,0,0
211,-2.0,1.0,1.0,0.009,0.0,0.0,107.589,9,991,0,0
212,-2.0,1.0,1.0,0.011,0.0,0.0,112.831,11,989,0,0
213,-2.0,1.0,1.0,0.011,0.0,0.0,112.831,11,989,0,0
214,-2.0,1.0,1.0,0.009,0.0,0.0,107.589,9,991,0,0
215,-2.0,1.0,1.0,0.009,0.0,0.0,107.589,9,991,0,0
216,-2.0,1.0,1.0,0.007,0.0,0.0,102.347,7,993,0,0
217,-2.0,1.0,1.0,0.01,0.0,0.0,110.21,10,990,0,0
218,-2.0,1.0,1.0,0.013,0.0,0.0,118.073,13,987,0,0
219,-2.0,1.0,1.0,0.012,0.0,0.0,115.452,12,988,0,0
220,-2.0,1.0,1.0,0.016,0.0,0.0,125.936,16,984,0,0
221,-2.0,1.0,1.0,0.005,0.0,0.0,97.105,5,995,0,0
222,-2.0,1.0,1.0,0.006,0.0,0.0,99.726,6,994,0,0
223,-2.0,1.0,1.0,0.008,0.0,0.0,104.968,8,992,0,0
224,-2.0,1.0,1.0,0.009,0.0,0.0,107.589,9,991,0,0
225,-2.0,1.0,1.0,0.009,0.0,0.0,107.589,9,991,0,0
226,-2.0,1.0,1.0,0.014,0.0,0.0,120.694,14,986,0,0
227,-2.0,1.0,1.0,0.007,0.0,0.0,102.347,7,993,0,0
228,-2.0,1.0,1.0,0.008,0.0,0.0,104.968,8,992,0,0
229,-2.0,1.0,1.0,0.011,0.0,0.0,112.831,11,989,0,0
