packet_id,is_malware,was_dropped,latency_ns
515,0,0,17916
516,0,0,17319
517,0,0,17102
518,0,0,17604
519,0,0,17565
520,0,0,17434
521,0,0,17608
522,0,0,17710
523,0,0,18264
524,0,0,17788
525,0,0,17886
526,0,0,17212
527,0,0,17215
528,0,0,17354
529,0,0,17563
530,0,0,17680
531,0,0,17209
532,0,0,17727
533,0,0,17201
534,0,0,17782
535,0,0,17357
536,0,0,17529
537,0,0,17462
538,0,0,17734
539,0,0,17436
540,0,0,17488
541,0,0,17327
542,0,0,17474
543,0,0,17703
544,0,0,17720
545,0,0,17672
546,0,0,17466
547,0,0,17657
548,0,0,17281
549,0,0,17551
550,0,0,17020
551,0,0,17282
552,0,0,17379
553,0,0,17154
554,0,0,17401
555,0,0,17079
556,0,0,17310
557,0,0,17349
558,0,0,17556
559,0,0,17925
560,0,0,18156
561,0,0,17343
562,0,0,17322
563,0,0,17141
564,0,0,17909
565,0,0,31773
566,0,0,21161
567,0,0,18405
568,0,0,17871
569,0,0,17414
570,0,0,17339
571,0,0,17821
572,0,0,27254
573,0,0,19952
574,0,0,17567
575,0,0,17067
576,0,0,17540
577,0,0,17025
578,0,0,17571
579,0,0,17567
580,0,0,16985
581,0,0,17183
582,0,0,17743
583,0,0,17397
584,0,0,17453
585,0,0,17321
586,0,0,17107
587,0,0,17152
588,0,0,17018
589,0,0,17479
590,0,0,17081
591,0,0,17385
592,0,0,17082
593,0,0,17165
594,0,0,17235
595,0,0,17104
596,0,0,17698
597,0,0,17324
598,0,0,17353
599,0,0,17316
600,0,0,19151
601,0,0,17380
602,0,0,17268
603,0,0,17582
604,0,0,17459
605,0,0,17132
606,0,0,17241
607,0,0,17260
608,0,0,17529
609,0,0,17533
610,0,0,17557
611,0,0,17566
612,0,0,17654
613,0,0,17699
614,0,0,17534
615,0,0,17582
616,0,0,16923
617,0,0,18225
618,0,0,17653
619,0,0,18513
620,0,0,18165
621,0,0,17551
622,0,0,17593
623,0,0,17146
624,0,0,17521
625,0,0,17865
626,0,0,17694
627,0,0,18139
628,0,0,17710
629,0,0,18028
630,0,0,17360
631,0,0,17638
632,0,0,21795
633,0,0,18220
634,0,0,17252
635,0,0,17962
636,0,0,17309
637,0,0,16959
638,0,0,17246
639,0,0,17122
640,0,0,17371
641,0,0,17336
642,0,0,17140
643,0,0,17105
644,0,0,127813
645,0,0,101644
646,0,0,22373
647,0,0,17361
648,0,0,17658
649,0,0,18236
650,0,0,18255
651,0,0,18152
652,0,0,17753
653,0,0,18102
654,0,0,17708
655,0,0,16500
656,0,0,16491
657,0,0,16284
658,0,0,17373
659,0,0,17652
660,0,0,17781
661,0,0,18226
662,0,0,18302
663,0,0,18366
