packet_id,is_malware,was_dropped,latency_ns
670,1,1,1106
671,1,1,1240
672,1,1,1284
673,1,1,1143
674,1,1,1194
675,1,1,1267
676,1,1,1215
677,1,1,1081
678,1,1,1227
679,1,1,1137
680,1,1,1135
681,1,1,1267
682,1,1,3592
683,1,1,1599
684,1,1,1289
685,1,1,1115
686,1,1,1191
687,1,1,1184
688,1,1,1187
689,1,1,10554
690,1,1,1921
691,1,1,1404
692,1,1,1265
693,1,1,1337
694,1,1,1206
695,1,1,1259
696,1,1,1282
697,1,1,1291
698,1,1,1253
699,1,1,1431
700,1,1,1287
701,1,1,1217
702,1,1,1272
703,1,1,1161
704,1,1,1272
705,1,1,1157
706,1,1,1241
707,1,1,1159
708,1,1,1268
709,1,1,1295
710,1,1,1216
711,1,1,1309
712,1,1,1357
713,1,1,1230
714,1,1,1175
715,1,1,1218
716,1,1,1230
717,1,1,1184
718,1,1,1180
719,1,1,1181
720,1,1,1343
721,1,1,1451
722,1,1,1258
723,1,1,1289
724,1,1,1165
725,1,1,1344
726,1,1,1453
727,1,1,1128
728,1,1,1264
729,1,1,1150
730,1,1,1214
731,1,1,1328
732,1,1,1413
733,1,1,1300
734,1,1,1158
735,1,1,1210
736,1,1,1225
737,1,1,1254
738,1,1,1381
739,1,1,1148
740,1,1,1239
741,1,1,1289
742,1,1,1219
743,1,1,1172
744,1,1,1167
745,1,1,1227
746,1,1,1117
747,1,1,1562
748,1,1,1069
749,1,1,1216
750,1,1,1170
751,1,1,1122
752,1,1,1174
753,1,1,1232
754,1,1,1097
755,1,1,1174
756,1,1,1137
757,1,1,1149
758,1,1,1137
759,1,1,1251
760,1,1,1121
761,1,1,1231
762,1,1,1214
763,1,1,1173
764,1,1,1204
765,1,1,1281
766,1,1,1232
767,1,1,1175
768,1,1,1487
769,1,1,1262
770,1,1,1346
771,1,1,1255
772,1,1,1185
773,1,1,1078
774,1,1,1521
775,1,1,1270
776,1,1,1212
777,1,1,1688
778,1,1,1356
779,1,1,1146
780,1,1,1176
781,1,1,1341
782,1,1,1299
783,1,1,1393
784,1,1,1227
785,1,1,1241
786,1,1,1244
787,1,1,1531
788,1,1,1671
789,1,1,1147
790,1,1,1361
791,1,1,1162
792,1,1,1240
793,1,1,1138
794,1,1,1293
795,1,1,1179
796,1,1,1173
797,1,1,1370
798,1,1,1236
799,1,1,1148
800,1,1,1274
801,1,1,1209
802,1,1,1644
803,1,1,1247
804,1,1,2283
805,1,1,1348
806,1,1,1269
807,1,1,1257
808,1,1,1387
809,1,1,1200
810,1,1,1231
811,1,1,30937
812,1,1,5769
813,1,1,1377
814,1,1,1645
815,1,1,1214
816,1,1,1408
817,1,1,1251
818,1,1,1260
819,1,1,1225
820,1,1,1728
821,1,1,1402
822,1,1,1330
823,1,1,1310
824,1,1,1296
825,1,1,1328
826,1,1,1292
827,1,1,1281
828,1,1,1282
829,1,1,1211
830,1,1,1266
831,1,1,1362
832,1,1,1264
833,1,1,1338
834,1,1,1228
835,1,1,1523
836,1,1,1350
837,1,1,1676
838,1,1,1529
839,1,1,1201
840,1,1,1447
841,1,1,1174
842,1,1,1222
843,1,1,1249
844,1,1,1350
845,1,1,1265
846,1,1,1258
847,1,1,1273
848,1,1,1662
849,1,1,1311
850,1,1,1222
851,1,1,1335
852,1,1,1297
853,1,1,5537
854,1,1,38727
855,1,1,5884
856,1,1,1788
857,1,1,1428
858,1,1,1446
859,1,1,1240
860,1,1,1531
861,1,1,1618
862,1,1,1719
863,1,1,1374
864,1,1,1463
865,1,1,1200
866,1,1,1808
867,1,1,1473
868,1,1,1327
869,1,1,1103
870,1,1,1317
871,1,1,1534
872,1,1,1260
873,1,1,1119
874,1,1,1205
875,1,1,1487
876,1,1,1219
877,1,1,1150
878,1,1,1368
879,1,1,1227
880,1,1,1588
881,1,1,1243
882,1,1,1331
883,1,1,1322
884,1,1,1177
885,1,1,1398
886,1,1,1241
887,1,1,1239
888,1,1,1326
889,1,1,1310
890,1,1,1189
891,1,1,1497
892,1,1,1172
893,1,1,1165
894,1,1,1529
895,1,1,1412
896,1,1,1286
897,1,1,1312
898,1,1,1212
899,1,1,1522
900,1,1,1390
901,1,1,1114
902,1,1,1503
903,1,1,1408
904,1,1,1070
905,1,1,1248
906,1,1,1137
907,1,1,1325
908,1,1,1413
909,1,1,1217
910,1,1,1128
911,1,1,1222
912,1,1,1294
913,1,1,1838
914,1,1,1262
915,1,1,1212
916,1,1,1495
917,1,1,1354
918,1,1,1423
919,1,1,1511
920,1,1,1372
921,1,1,1256
922,1,1,1318
923,1,1,1295
924,1,1,1532
925,1,1,1285
926,1,1,1296
927,1,1,1260
928,1,1,1265
929,1,1,1478
930,1,1,1123
931,1,1,1174
932,1,1,1144
933,1,1,1357
934,1,1,1237
935,1,1,1258
936,1,1,1056
937,1,1,1383
938,1,1,1327
939,1,1,1122
940,1,1,1128
941,1,1,1325
942,1,1,1074
943,1,1,1152
944,1,1,1196
945,1,1,1203
946,1,1,1294
947,1,1,1409
948,1,1,1029
949,1,1,1194
950,1,1,1194
951,1,1,1129
952,1,1,1172
953,1,1,1095
954,1,1,1177
955,1,1,1255
956,1,1,1287
957,1,1,1253
958,1,1,1274
959,1,1,1283
960,1,1,1132
961,1,1,1446
962,1,1,1268
963,1,1,1573
964,1,1,1246
