packet_id,is_malware,latency_ns
735,0,16058
736,0,15779
737,0,15842
738,0,16329
739,0,25741
740,1,165698
741,0,18453
742,0,16258
743,0,16252
744,0,16307
745,0,15782
746,0,16238
747,0,15921
748,0,15965
749,0,16187
750,0,15574
751,0,16443
752,0,16015
753,0,16252
754,0,15929
755,0,16280
756,0,16296
757,0,15934
758,0,21132
759,0,16837
760,1,166739
761,0,16974
762,0,15944
763,0,16016
764,0,16226
765,0,15713
766,0,15669
767,0,15683
768,0,16072
769,0,16498
770,0,16167
771,0,15896
772,0,16159
773,0,15563
774,0,15638
775,0,15748
776,0,15579
777,0,16195
778,0,16139
779,0,15947
780,1,162982
781,0,16144
782,0,135308
783,0,27344
784,0,24401
785,0,36538
786,0,24802
787,0,17707
788,0,16505
789,0,21648
790,0,58525
791,0,54514
792,0,177023
793,0,32916
794,0,21749
795,0,21038
796,0,20126
797,0,21138
798,0,22418
799,0,22580
800,1,269509
801,0,37781
802,0,23229
803,0,21944
804,0,21363
805,0,21058
806,0,19606
807,0,20229
808,0,21649
809,0,26742
810,0,23194
811,0,23250
812,0,45028
813,0,21118
814,0,22562
815,0,22569
816,0,23146
817,0,23553
818,0,22123
819,0,23769
820,1,363025
821,0,47169
822,0,19616
823,0,37483
824,0,16482
825,0,16360
826,0,15371
827,0,15458
828,0,15302
829,0,14993
830,0,15061
831,0,14987
832,0,14945
833,0,53167
834,0,19334
835,0,15539
836,0,15238
837,0,15286
838,0,15372
839,0,14983
840,1,169817
841,0,15658
842,0,16164
843,0,14637
844,0,15104
845,0,15252
846,0,15016
847,0,15769
848,0,16421
849,0,14982
850,0,15534
851,0,14893
852,0,15838
853,0,13918
854,0,14195
855,0,14062
856,0,13883
857,0,13699
858,0,13927
859,0,13920
860,1,157428
861,0,15609
862,0,14951
863,0,199359
864,0,80090
865,0,32919
866,0,20229
867,0,18460
868,0,17785
869,0,17080
870,0,17341
871,0,17526
872,0,16915
873,0,16972
874,0,15727
875,0,15620
876,0,15851
877,0,15754
878,0,15822
879,0,15867
880,1,214295
881,0,21826
882,0,26518
883,0,17362
884,0,16393
885,0,16657
886,0,15479
887,0,16062
888,0,14505
889,0,14454
890,0,14824
891,0,14759
892,0,14709
893,0,14391
894,0,14612
895,0,14637
896,0,14768
897,0,14511
898,0,14531
899,0,14390
900,1,150969
901,0,15460
902,0,14725
903,0,14829
904,0,15059
905,0,15109
906,0,13944
907,0,14231
908,0,14143
909,0,14387
910,0,14445
911,0,14574
912,0,15059
913,0,15906
914,0,29683
915,0,16565
916,0,15030
917,0,15149
918,0,16357
919,0,17768
920,1,150783
921,0,16173
922,0,14481
923,0,15211
924,0,15097
925,0,14784
926,0,15069
927,0,14543
928,0,14975
929,0,15850
930,0,17500
931,0,14744
932,0,14993
933,0,15219
934,0,14500
935,0,15130
936,0,13989
937,0,13715
938,0,13858
939,0,14243
940,1,174733
941,0,203941
942,0,23413
943,0,18562
944,0,16164
945,0,16714
946,0,16165
947,0,17993
948,0,16505
949,0,16133
950,0,16637
951,0,16859
952,0,17545
953,0,17879
954,0,17598
955,0,16535
956,0,17407
957,0,16702
958,0,16079
959,0,16962
960,1,169461
961,0,25679
962,0,25178
963,0,19123
964,0,17977
965,0,17143
966,0,17680
967,0,18708
968,0,17809
969,0,16232
970,0,16314
971,0,16543
972,0,17118
973,0,17262
974,0,16964
975,0,17446
976,0,16991
977,0,16084
978,0,16679
979,0,16459
980,1,166708
981,0,22662
982,0,17293
983,0,17998
984,0,17115
985,0,17437
986,0,17392
987,0,18979
988,0,21788
989,0,15909
990,0,16003
991,0,20402
992,0,18933
993,0,15886
994,0,16239
995,0,17367
996,0,16068
997,0,16117
998,0,15772
999,0,15495
1000,1,156784
1001,0,18360
1002,0,15151
1003,0,15414
1004,0,16862
1005,0,15306
1006,0,15591
1007,0,15610
1008,0,15226
1009,0,15876
1010,0,15251
1011,0,15277
1012,0,15347
1013,0,15865
1014,0,15525
1015,0,15584
1016,0,15839
1017,0,14926
1018,0,14845
1019,0,14791
1020,1,165652
1021,0,25433
1022,0,17594
1023,0,16242
1024,0,15205
1025,0,15608
1026,0,16477
1027,0,18113
1028,0,15904
1029,0,14952
1030,0,15317
1031,0,13779
1032,0,14334
1033,0,14776
1034,0,13800
1035,0,14054
1036,0,13810
1037,0,13797
1038,0,14594
1039,0,15127
1040,1,156710
1041,0,16693
1042,0,15142
1043,0,22871
1044,0,14745
1045,0,14927
1046,0,16278
1047,0,15461
1048,0,15207
1049,0,15025
1050,0,14809
1051,0,15550
1052,0,14153
1053,0,13967
1054,0,14288
1055,0,13871
1056,0,17619
1057,0,27195
1058,0,15450
1059,0,14816
1060,1,154288
1061,0,15945
1062,0,14743
1063,0,14572
1064,0,14754
1065,0,14938
1066,0,14740
1067,0,15777
1068,0,13648
1069,0,13805
1070,0,14098
1071,0,13935
1072,0,13672
1073,0,13851
1074,0,13849
1075,0,13845
1076,0,14030
1077,0,13774
1078,0,13546
1079,0,13817
1080,1,151231
1081,0,18072
1082,0,14490
1083,0,13944
1084,0,13959
1085,0,13923
1086,0,14221
1087,0,14469
1088,0,14008
1089,0,13693
1090,0,14143
1091,0,13933
1092,0,13818
1093,0,14048
1094,0,13628
1095,0,13832
1096,0,14129
1097,0,13655
1098,0,13796
1099,0,13797
1100,1,142703
1101,0,15116
1102,0,14071
1103,0,13794
1104,0,14075
1105,0,13700
1106,0,13713
1107,0,14110
1108,0,14235
1109,0,14036
1110,0,14153
1111,0,14032
1112,0,13972
1113,0,13901
1114,0,13758
1115,0,13732
1116,0,14049
1117,0,14222
1118,0,14419
1119,0,13716
1120,1,140084
1121,0,14448
1122,0,14064
1123,0,13869
1124,0,13593
1125,0,14094
1126,0,14152
1127,0,13778
1128,0,13754
1129,0,14078
1130,0,13728
1131,0,14094
1132,0,14075
1133,0,13985
1134,0,13770
1135,0,13702
1136,0,13851
1137,0,14012
1138,0,13621
1139,0,13969
1140,1,139442
1141,0,14016
1142,0,127165
1143,0,21168
1144,0,15551
1145,0,15381
1146,0,15353
1147,0,16100
1148,0,16087
1149,0,16208
1150,0,16519
1151,0,14791
1152,0,14565
1153,0,14895
1154,0,16177
1155,0,15856
1156,0,15583
1157,0,16050
1158,0,15715
1159,0,15657
1160,1,167306
1161,0,16719
1162,0,15401
1163,0,14906
1164,0,15475
1165,0,17441
1166,0,15821
1167,0,15759
1168,0,15506
1169,0,15900
1170,0,15997
1171,0,16497
1172,0,15935
1173,0,16724
1174,0,14993
1175,0,15207
1176,0,14893
1177,0,14944
1178,0,15059
1179,0,15192
1180,1,152490
1181,0,18683
1182,0,19663
1183,0,20857
1184,0,21461
1185,0,28235
1186,0,28281
1187,0,16579
1188,0,16411
1189,0,15875
1190,0,16392
1191,0,15875
1192,0,16325
1193,0,15559
1194,0,15857
1195,0,15624
1196,0,15514
1197,0,15705
1198,0,15779
1199,0,16022
1200,1,181190
1201,0,19292
1202,0,16073
1203,0,14682
1204,0,15291
1205,0,15237
1206,0,14820
1207,0,14516
1208,0,15923
1209,0,16031
1210,0,16363
1211,0,16435
1212,0,16004
1213,0,15717
1214,0,15661
1215,0,15726
1216,0,16143
1217,0,16657
1218,0,15983
1219,0,15713
